Time - Plot 0,Amplitude - Plot 0
0,0.330603
0.0004,0.340251
0.0008,0.342663
0.0012,0.342663
0.0016,0.337839
0.002,0.335427
0.0024,0.335427
0.0028,0.337839
0.0032,0.337839
0.0036,0.337839
0.004,0.340251
0.0044,0.337839
0.0048,0.333015
0.0052,0.328191
0.0056,0.323367
0.006,0.325779
0.0064,0.333015
0.0068,0.340251
0.0072,0.342663
0.0076,0.340251
0.008,0.335427
0.0084,0.333015
0.0088,0.333015
0.0092,0.333015
0.0096,0.335427
0.01,0.337839
0.0104,0.340251
0.0108,0.340251
0.0112,0.342663
0.0116,0.340251
0.012,0.337839
0.0124,0.330603
0.0128,0.325779
0.0132,0.325779
0.0136,0.328191
0.014,0.335427
0.0144,0.337839
0.0148,0.340251
0.0152,0.342663
0.0156,0.342663
0.016,0.342663
0.0164,0.340251
0.0168,0.342663
0.0172,0.342663
0.0176,0.342663
0.018,0.342663
0.0184,0.337839
0.0188,0.335427
0.0192,0.328191
0.0196,0.323367
0.02,0.325779
0.0204,0.333015
0.0208,0.337839
0.0212,0.340251
0.0216,0.340251
0.022,0.342663
0.0224,0.342663
0.0228,0.342663
0.0232,0.342663
0.0236,0.337839
0.024,0.337839
0.0244,0.337839
0.0248,0.337839
0.0252,0.342663
0.0256,0.340251
0.026,0.337839
0.0264,0.330603
0.0268,0.325779
0.0272,0.328191
0.0276,0.330603
0.028,0.335427
0.0284,0.337839
0.0288,0.340251
0.0292,0.340251
0.0296,0.340251
0.03,0.340251
0.0304,0.340251
0.0308,0.340251
0.0312,0.337839
0.0316,0.337839
0.032,0.340251
0.0324,0.340251
0.0328,0.342663
0.0332,0.337839
0.0336,0.333015
0.034,0.325779
0.0344,0.325779
0.0348,0.328191
0.0352,0.330603
0.0356,0.328191
0.036,0.328191
0.0364,0.328191
0.0368,0.325779
0.0372,0.325779
0.0376,0.323367
0.038,0.325779
0.0384,0.330603
0.0388,0.333015
0.0392,0.335427
0.0396,0.340251
0.04,0.342663
0.0404,0.337839
0.0408,0.335427
0.0412,0.328191
0.0416,0.323367
0.042,0.323367
0.0424,0.325779
0.0428,0.325779
0.0432,0.328191
0.0436,0.328191
0.044,0.325779
0.0444,0.325779
0.0448,0.325779
0.0452,0.325779
0.0456,0.325779
0.046,0.333015
0.0464,0.340251
0.0468,0.342663
0.0472,0.337839
0.0476,0.328191
0.048,0.325779
0.0484,0.323367
0.0488,0.325779
0.0492,0.325779
0.0496,0.325779
0.05,0.325779
0.0504,0.325779
0.0508,0.325779
0.0512,0.325779
0.0516,0.323367
0.052,0.325779
0.0524,0.325779
0.0528,0.330603
0.0532,0.333015
0.0536,0.340251
0.054,0.345075
0.0544,0.340251
0.0548,0.333015
0.0552,0.328191
0.0556,0.325779
0.056,0.325779
0.0564,0.325779
0.0568,0.325779
0.0572,0.325779
0.0576,0.325779
0.058,0.325779
0.0584,0.328191
0.0588,0.333015
0.0592,0.337839
0.0596,0.342663
0.06,0.342663
0.0604,0.340251
0.0608,0.337839
0.0612,0.333015
0.0616,0.330603
0.062,0.328191
0.0624,0.325779
0.0628,0.325779
0.0632,0.325779
0.0636,0.325779
0.064,0.325779
0.0644,0.325779
0.0648,0.325779
0.0652,0.325779
0.0656,0.325779
0.066,0.328191
0.0664,0.335427
0.0668,0.340251
0.0672,0.342663
0.0676,0.335427
0.068,0.333015
0.0684,0.328191
0.0688,0.328191
0.0692,0.325779
0.0696,0.328191
0.07,0.328191
0.0704,0.330603
0.0708,0.330603
0.0712,0.330603
0.0716,0.330603
0.072,0.328191
0.0724,0.325779
0.0728,0.325779
0.0732,0.328191
0.0736,0.333015
0.074,0.340251
0.0744,0.340251
0.0748,0.340251
0.0752,0.333015
0.0756,0.328191
0.076,0.325779
0.0764,0.325779
0.0768,0.325779
0.0772,0.325779
0.0776,0.328191
0.078,0.330603
0.0784,0.330603
0.0788,0.330603
0.0792,0.328191
0.0796,0.325779
0.08,0.325779
0.0804,0.328191
0.0808,0.330603
0.0812,0.335427
0.0816,0.337839
0.082,0.340251
0.0824,0.340251
0.0828,0.342663
0.0832,0.342663
0.0836,0.340251
0.084,0.340251
0.0844,0.340251
0.0848,0.337839
0.0852,0.337839
0.0856,0.335427
0.086,0.335427
0.0864,0.333015
0.0868,0.330603
0.0872,0.325779
0.0876,0.325779
0.088,0.330603
0.0884,0.333015
0.0888,0.337839
0.0892,0.340251
0.0896,0.340251
0.09,0.340251
0.0904,0.340251
0.0908,0.342663
0.0912,0.340251
0.0916,0.342663
0.092,0.340251
0.0924,0.335427
0.0928,0.333015
0.0932,0.325779
0.0936,0.325779
0.094,0.325779
0.0944,0.328191
0.0948,0.333015
