index # - Plot 0,Amplitude - Plot 0,index # - Plot 1,Amplitude - Plot 1,index # - Plot 2,Amplitude - Plot 2
0,0.0047028,0,0.014,0,0.014
1,0.00470173,1,0.014,1,0.014
2,0.00470575,2,0.014,2,0.014
3,0.00471099,3,0.014,3,0.014
4,0.00471343,4,0.014,4,0.014
5,0.00471,5,0.014,5,0.014
6,0.00469897,6,0.014,6,0.014
7,0.00468093,7,0.014,7,0.014
8,0.00465819,8,0.014,8,0.014
9,0.00463388,9,0.014,9,0.014
10,0.00461102,10,0.014,10,0.014
11,0.00459231,11,0.014,11,0.014
12,0.00457961,12,0.014,12,0.014
13,0.00457344,13,0.014,13,0.014
14,0.00457312,14,0.014,14,0.014
15,0.00457718,15,0.014,15,0.014
16,0.00458385,16,0.014,16,0.014
17,0.00459209,17,0.014,17,0.014
18,0.00460081,18,0.014,18,0.014
19,0.00460891,19,0.014,19,0.014
20,0.00461578,20,0.014,20,0.014
21,0.00462131,21,0.014,21,0.014
22,0.00462596,22,0.014,22,0.014
23,0.00463018,23,0.014,23,0.014
24,0.00463388,24,0.014,24,0.014
25,0.00463696,25,0.014,25,0.014
26,0.00463932,26,0.014,26,0.014
27,0.00464111,27,0.014,27,0.014
28,0.00464263,28,0.014,28,0.014
29,0.00464448,29,0.014,29,0.014
30,0.00464724,30,0.014,30,0.014
31,0.00465143,31,0.014,31,0.014
32,0.00465702,32,0.014,32,0.014
33,0.00466305,33,0.014,33,0.014
34,0.00466826,34,0.014,34,0.014
35,0.00467167,35,0.014,35,0.014
36,0.00467276,36,0.014,36,0.014
37,0.00467175,37,0.014,37,0.014
38,0.00466948,38,0.014,38,0.014
39,0.00466724,39,0.014,39,0.014
40,0.00466641,40,0.014,40,0.014
41,0.00466845,41,0.014,41,0.014
42,0.00467418,42,0.014,42,0.014
43,0.00468398,43,0.014,43,0.014
44,0.00469781,44,0.014,44,0.014
45,0.00471493,45,0.014,45,0.014
46,0.00473371,46,0.014,46,0.014
47,0.00475163,47,0.014,47,0.014
48,0.00476575,48,0.014,48,0.014
49,0.00477338,49,0.014,49,0.014
50,0.00477249,50,0.014,50,0.014
51,0.00476218,51,0.014,51,0.014
52,0.00474276,52,0.014,52,0.014
53,0.00471607,53,0.014,53,0.014
54,0.00468485,54,0.014,54,0.014
55,0.00465218,55,0.014,55,0.014
56,0.00462072,56,0.014,56,0.014
57,0.00459235,57,0.014,57,0.014
58,0.00456854,58,0.014,58,0.014
59,0.00455023,59,0.014,59,0.014
60,0.00453771,60,0.014,60,0.014
61,0.00453042,61,0.014,61,0.014
62,0.00452714,62,0.014,62,0.014
63,0.00452644,63,0.014,63,0.014
64,0.00452677,64,0.014,64,0.014
65,0.00452708,65,0.014,65,0.014
66,0.00452633,66,0.014,66,0.014
67,0.00452354,67,0.014,67,0.014
68,0.00451757,68,0.014,68,0.014
69,0.0045075,69,0.014,69,0.014
70,0.00449307,70,0.014,70,0.014
71,0.00447466,71,0.014,71,0.014
72,0.00445293,72,0.014,72,0.014
73,0.00442849,73,0.014,73,0.014
74,0.00440187,74,0.014,74,0.014
75,0.00437366,75,0.014,75,0.014
76,0.00434458,76,0.014,76,0.014
77,0.00431545,77,0.014,77,0.014
78,0.0042867,78,0.014,78,0.014
79,0.00425864,79,0.014,79,0.014
80,0.00423169,80,0.014,80,0.014
81,0.00420663,81,0.014,81,0.014
82,0.00418442,82,0.014,82,0.014
83,0.00416557,83,0.014,83,0.014
84,0.00415039,84,0.014,84,0.014
85,0.00413905,85,0.014,85,0.014
86,0.00413165,86,0.014,86,0.014
87,0.00412804,87,0.014,87,0.014
88,0.0041273,88,0.014,88,0.014
89,0.00412784,89,0.014,89,0.014
90,0.0041275,90,0.014,90,0.014
91,0.00412437,91,0.014,91,0.014
92,0.00411716,92,0.014,92,0.014
93,0.00410605,93,0.014,93,0.014
94,0.00409274,94,0.014,94,0.014
95,0.00407973,95,0.014,95,0.014
96,0.00406925,96,0.014,96,0.014
97,0.00406278,97,0.014,97,0.014
98,0.00406128,98,0.014,98,0.014
99,0.0040649,99,0.014,99,0.014
100,0.00407263,100,0.014,100,0.014
101,0.00408233,101,0.014,101,0.014
102,0.00409135,102,0.014,102,0.014
103,0.00409745,103,0.014,103,0.014
104,0.00409917,104,0.014,104,0.014
105,0.00409583,105,0.014,105,0.014
106,0.00408714,106,0.014,106,0.014
107,0.00407344,107,0.014,107,0.014
108,0.00405649,108,0.014,108,0.014
109,0.0040388,109,0.014,109,0.014
110,0.00402281,110,0.014,110,0.014
111,0.00401025,111,0.014,111,0.014
112,0.0040018,112,0.014,112,0.014
